input,match,product_guide,product_guide_count
Tempura Ika,PAN ROYAL TEMPURA IKA (500G X 10PKT),"SUTCHI FILLET 230/300GM, SQUARE (6 KGS) 84, 21/25 PTO VANNAMEI SHRIMP (1KG X 10P) - PO, FRESH WATER SCAMPI PRAWN U7 IQF (10KG) - J3, FRESH SEABASS 800 (G) BTF - kg, COOKED TIGER PRAWN 31/35, 10KG - PJA, FRESH FLOWER GROUPER CL, PAN ROYAL TEMPURA IKA (500G X 10PKT), WHITE HOSO SEMI IQF 16/20 (10 X 1KG) - J3",10
Carrot,CARROTS 红萝卜,"CARROTS 红萝卜, SPRING ONION 青葱, LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, TAU KUA XL 豆干 (2PCS X 200G), RADISH WHITE / DAIKON 大白萝卜 / 大根, POTATO BABY / POTATO MARBLE 小土豆 / 小马铃薯, ONION PEELED 去皮大洋葱, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), LEMON YELLOW 黄柠檬 (150G-200G/NOS), SPINACH / PUEY LENG 波菜, ENGLISH PARSLEY 西香菜 / 西芫荽 (300G/BUN), ZUCCHINI GREEN 青夏南瓜, CHILLI GREEN 青辣椒 (250G/PKT), BEAN SPROUT LARGE / SOYA 大豆芽 / 韩国大豆芽, CHILLI RED 红辣椒 (250G/PKT), LEEK JAPANESE / SHIRONEGI / BEI CHONG 北葱 / 日本葱, LETTUCE CORAL RED / LOLLO ROSSA 红珊瑚生菜, CUCUMBER JAPANESE 日本黄瓜 (KG), POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, MUSHROOM SHITAKE 花菇, CABBAGE LONG WONG BOK 大白菜",21
Lemon balm (柠檬香脂),(LB) LEMON BALM CRESS MG,"(RVS) RED VEIN SORREL CRESS MG, (LB) LEMON BALM CRESS MG, LEEK CHINESE 中国大葱, GARLIC CHIVE (250G/BUN), DILL 茴香 / 莳萝 (50G/PKT), (AMR) AMARANTH RED CRESS MG, KOPPERT CRESS - LEMON BALM / MELISSA CRESS (25G/PUN), SCARLET RED AMARANTH (KPC-AMR), SPRING ONION 青葱, GARLIC SPROUT  蒜苔 (250G/BUN), EDIBLE FLOWER - MARIGOLD 万寿菊花 (10G/PUN), (SS.P) SHISO PURPLE CRESS MG, (ES.M) EGYPTIAN STAR MIXED (10G/PUN), PEA SWEET / ENGLISH PEA / GARDEN PEA 甜豆 (130G/PKT), KOPPERT CRESS - VENE / RED VEIN SORREL CRESS (25G/PUN), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), PEA SNOW 荷兰豆 / 扁豆 (130G/PKT), KOPPERT CRESS - SHISO PURPLE CRESS (25G/PUN)",18
lemon,LEMON YELLOW 黄柠檬 (150G-200G/NOS),"BLUEBERRY 兰莓 (100G-125G/PKT), TOMATO (500G/PKT) 蕃茄, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), ONION LARGE BROWN 大洋葱, RASPBERRY 山莓 / 红莓 (100G-125G/PUN), CUCUMBER JAPANESE 日本黄瓜 (KG), SPEARMINT 薄荷叶 (50G/PKT), POTATO LOCAL 土豆 / 马铃薯, LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, CAPSICUM PEPPER GREEN 青灯笼椒 / 青大辣椒, STRAWBERRY 草莓 (250G/PUN), LEMON YELLOW 黄柠檬 (150G-200G/NOS)",12
素厨 (500g),3-59A-素厨500G VEGECOOK VGN SEASONING GRANULE (40 PC),"(2B-95) - 200G 小 炖羊肉 齐 WP -VEG MUTTON CHUCK (20 PC), (1B-52A) - 三菇肉饼 (肉脞) 500G VGN SQUARE MINCED MEAT (60 PC), (2B) -培根火腿片 1KG- WP BACON HAM (12 PC), 3-59A-素厨500G VEGECOOK VGN SEASONING GRANULE (40 PC), (2A) 脆皮咖喱角400G VWFVGN SAMOSA HALAL********* (20 PC), (1A-21B)450 G 卤鸭块 - VGN MOCK DUCK (20 PC), (1A-20A) 素金凤凰 火腿 900G VEG HAM VWF (30 PC), (1B-42B) (更) 素腐竹鱼 VGN YUBA FISH (18 PC), (1A-1A) - (苏东) 鱼板-900G SU TUNG FISHCAKE (25 PC), 素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A4A)(大片)更加好 素豆包500G EB VGN FRESH SOY CHIP (12 PC), (1A19A) 素鸡建/G建 (香菇脚)900G VEG LEAN MEAT (MUSHROOM) (20 PC), (2B-51)(吉味)素蟹味棒-VEGAN CRAB STICK 600G (30 PC), (1A-2A)[[ 冷冻]]古早味-纯素食香辣虾米 VGN Sambal Udang, (2B) 素黄金鱼豆腐 1KG WP VGN GOLDEN FISH TOFU (12 PC), (1B48A) 金狮猴头菇(味根香)900G VGN GOLDEN MONKEYHEAD MUSH (20 PC), 素尤鱼圈- Vegan Stotong Ring 400G, (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (1B42B)(更加好)素潮洲卤鸭 500G EB VGN TEOW CHEW DUCK (10 PC), (2B) 素腐皮卷 WP VGN BEANCURD ROLL 36PCS/KG (12 PC), (1B- 43A) - (更) 鱼片- 1KG VEG FISH SLICE (5 PC), (1B-52) -卤肉500G YAM ROLL TKC - 10PCS (50 PC), (1B-52) -(更) 五香素鸭 - EB VEG SPICED DUCK 250G (12 PC), (1B-38A) 粉红(益500G)素香酥鸡 VEG ROASTED CHICKEN (30 PC), (1A-19A) 素翡翠卷(鸿)900G VEG FEI CUI JADE ROLL (20 PC)",25
Bean curd big,BIG TAU KWA 大豆干,"ROUND CABBAGE 包菜, LARGE ONION 大洋葱, CHINESE CELERY 芹菜, SMALL LIME 小酸柑, GREEN FRISEE 青菲茜, GREEN CHILLI PADI 青小辣椒, HOR FUN 河粉, BASIL LEAF SWEET 金不换 甜, LEMON GRASS / SERAI 葱毛, CUCUMBER 青瓜, RED CARROT 红萝卜, BIG TAU KWA 大豆干, BABY KAILAN 芥兰仔, GREEN MANGO 青芒果, MEDIUM TOMATO 中番茄, SPRING ONION  青葱, CHIVE 韭菜, PEELED LARGE ONION 去皮大洋葱, BASIL LEAF HOT 金不换 辣, BEAN SPROUT 豆芽, PEELED GARLIC 蒜肉, EGGPLANT 茄子, PINEAPPLE 黄梨, BOMBAY ONION 红大葱, PARSLEY / SAW LEAF 芫茜, BROWN SHIMEIJI MUSHROOM 松菇 / 蟹味菇, RED CHILLI 红辣椒, RED CHILLI PADI 小红辣椒, CORIANDER / CHINESE PARSLEY 芫茜, BLUE GINGER 南姜, LONG BEAN 菜豆, LIME LEAF 大柑叶",32
多利鱼(7kg  400),Dory Fillet/Double Fish 400-600gm (MH) 7kg VN( 双鱼),"JK Pork Big Bone Cut 1 Cut 2 (Bag) 10kg SG, Cream Dory Fillet 400-600gm 6kg (2) VN  多利魚, CREAM DORY FILLET 400-600GM (DOUBLE FISH) 6KG VN, Aurora Chicken Breast 12Kg/Ctn 鸡胸肉, F - Chicken Breast Bone (KS) MY 鸡胸骨, Chicken Feet (Seara) 7.5kgx2pkt BR 生鸡脚, Chicken Breast Half B/L S/L (Aurora) 2kgx6pkt BR, JK PORK SLICED 3MM (BAG) 2KG SG 猪肉片, CHICKEN BREAST HALF B/L S/L (AVIVAR) 2KGX6PKT BR, Cream Dory Fillet 220gm Up 6kg VN 多利魚, CHICKEN FEET (SADIA) 6KGX2PKT BR 生鸡脚, Seara Chicken Breast Skinless 1Kg/Pkt, 12Kg/Ctn, Dory Fillet/Double Fish 400-600gm (MH) 7kg VN( 双鱼), Cream Dory Fillet 400-600gm (U) 7kg VN 多利魚, Chicken Breast Half B/L S/L (Laemthong)2kgx6pkt TH, HARDBOILED QUAIL EGG (PERMIUM) 50PCSX12CAN SG",17
cabbage long,CABBAGE LONG WONG BOK 大白菜,"EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, SPRING ONION 青葱, ONION PEELED 去皮大洋葱, BROCCOLI CHINA 中国西兰花, EGGS QUAIL BOILED  熟鹌鹑蛋 (50 PCS/CAN), TOMATO (500G/PKT) 蕃茄, CORIANDER 香菜 / 芫荽 (300G-350G/BUN), NAI BAI CHYE / BABY BAK CHOY 奶白菜, MUSHROOM ENOKI 金针菇 (150G/PKT), TAU POK 豆卜 (10PCS/PKT), POTATO LOCAL 土豆 / 马铃薯, LOTUS ROOT 莲藕, GARLIC MINCED 蒜末 / 蒜蓉 (1KG/PKT), CUCUMBER OLD 老黄瓜, PADI CHILLI RED 红小辣椒 / 红潮天椒 (250G/PKT), CHILLI RED 红辣椒 (250G/PKT), BROCCOLI AUST 澳洲西兰花, TOFU EGG 鸡蛋豆腐 (160G/NOS), CORN ON COB 玉米 (2PCS/PKT), EGGPLANT LONG BRINJAL 长茄, CABBAGE LONG WONG BOK 大白菜, EGGS QUAIL 鹌鹑蛋 (15 PCS/PKT)",22
Grapefruit,GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS),"GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS), THYME 白里香 (50G/PKT), EDIBLE FLOWER - PURPLE VIOLA (10G/PUN), ROSEMARY 迷迭香 (50G/PKT), EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), KOPPERT CRESS - SHISO GREEN LEAF OBA / PERILLA LEAF (15PCS/PUN), PASSION FRUIT 百香果, LEMON YELLOW 黄柠檬 (150G-200G/NOS), (RVS) RED VEIN SORREL CRESS MG, POTATO AGRIA 德国土豆 / 德国马铃薯 (KG), KING OYSTER / ERINGYI MUSHROOM 杏鲍菇 (200G/PKT), SPEARMINT 薄荷叶 (50G/PKT), LIME SMALL / CALAMANSI 酸柑 / 柑仔, KOPPERT CRESS - VENE / RED VEIN SORREL CRESS (25G/PUN), LEMON THYME 柠檬白里香 (50G/PKT), LEMON 黄柠檬盒装 (88-113PCS/CTN), EDIBLE FLOWER - VIOLA (10G/PUN), LIME SEEDLESS 无子青柠檬, EDIBLE FLOWER - YELLOW VIOLA",19
小西刀,CHICKEN BIG NGOH HIANG,"SEAFOOD RING ROLL, FRESH FISH CAKE (VEG), FISH PASTE, KOREAN FISH CAKE, TAU KEE PUFF, CHICKEN BEANCURD, SMALL SITO-FISH CAKE, CUTTLEFISH WANTON, CHICKEN BIG NGOH HIANG, TEOCHEW FISH MEAT BALL, BEANCURD ROLL, CHICKEN DUMPLING, HANDMADE FRESH FISH BALL (W) 50",13
白肉香,TEOCHEW FISH MEAT BALL,"SEAFOOD RING ROLL, FRESH FISH CAKE (VEG), FISH PASTE, KOREAN FISH CAKE, TAU KEE PUFF, CHICKEN BEANCURD, SMALL SITO-FISH CAKE, CUTTLEFISH WANTON, CHICKEN BIG NGOH HIANG, TEOCHEW FISH MEAT BALL, BEANCURD ROLL, CHICKEN DUMPLING, HANDMADE FRESH FISH BALL (W) 50",13
Fish paste,FISH PASTE,"CHILLI FISH CAKE, PRAWN BALL (500GM X 2PACK), FISH PASTE, EGG TOFU, FRIED FISH BALL, CUTTLEFISH NUGGET, TEOCHEW FISH CAKE (20PCS), SEAFOOD NGOH HIANG BALL, CHICKEN DUMPLING, HANDMADE FRESH FISH BALL (W) 50, FLAT FISH CAKE",11
Lemongrass,LEMONGRASS 香茅,"CARROTS 红萝卜, ONION RED PEELED 去皮印度红葱, DILL 茴香 / 莳萝 (50G/PKT), THYME 白里香 (50G/PKT), SPRING ONION 青葱, GINGER OLD 老姜, ONION PEELED 去皮大洋葱, ROSEMARY 迷迭香 (50G/PKT), LIME LEAF / KAFFIR LEAVES 柠檬叶 (300G/BUN), LEMONGRASS 香茅, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), CAPSICUM PEPPER RED 红灯笼椒 / 红大辣椒, CORIANDER 香菜 / 芫荽 (300G-350G/BUN), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), LONG BEAN 长豆, ENGLISH PARSLEY 西香菜 / 西芫荽 (300G/BUN), GINGER OLD PEELED 去皮老姜 MIN 500G, DICED CARROT 切丁红萝卜, CHERVIL 细叶芹 (30G/PKT), OREGANO 牛至叶 (50G/PKT), ONION SHALLOT PEELED 去皮红葱仔, CHILLI GREEN 青辣椒 (250G/PKT), MINT LOCAL LEAF 本地薄荷叶 (300G/BUN), CHILLI RED 红辣椒 (250G/PKT), CAPSICUM PEPPER YELLOW 黄灯笼椒 / 黄大辣椒, DICED ONION 5MM 切丁大洋葱, THAI EGGPLANT GREEN 泰国茄子, BASIL 罗勒 / 九辰塔 (50G/PKT), SAGE 鼠尾草 (50G/PKT), MUSHROOM WHITE BUTTON 白蘑菇 (KG), APPLE GREEN 青萍果, CAPSICUM PEPPER GREEN 青灯笼椒 / 青大辣椒, GINGER BLUE / LANGKWAS / GALANGAL 南姜, MUSHROOM SHITAKE 花菇, THAI BASIL 泰国九辰塔 / 金不换 (300G/BUN)",35
Prawns 41-50,COOKED VANNAMEI PRAWN HOSO 41/50 (10PKTx1KG),"PORK MINCE 60/40 M/WANTON (RUYI) BAG(8BAGx2KG)^, BOILED PORK RIB CUT (RUYI) VAC(8PKTx2KG)(K), PORK COLLAR SLICED SPLIT HALF 1.5MM BAG(12PKTx1KG), Front Trotter Cut 前手尖切, PORK COLLAR CHAR SIEW (RUYI) VAC(~2KG)(K), Pork Back Skin背皮, WHOLE CHICKEN 1000G (PERDIGAO) (10PKTx1KG)-10KG BR, PORK COLLAR SLICED 2MM TP(10PKTx1KG), COOKED VANNAMEI PRAWN HOSO 41/50 (10PKTx1KG), FRIED PRAWN HEAD (RUYI) VAC(8PKTx2KG)(K), PORK LOIN B/L (FRIMESA) -25KG BR, BOILED PORK TAIL CUT (RUYI) VAC(8PKTx2KG)(K), BOILED PORK INTESTINE (RUYI) VAC(10PKTx1KG)(K), PORK BIG BONE - CUT (TL) 10KG BULK/CTN, PRAWN BROTH (12PKTx1KG)",15
脆虾饼,Golden Prawn Pancake黄金虾饼,"Sotong Roll (苏东卷), Crispy Chicken Mid Wing鸡中翅, Fried Beancurd Roll (炸豆支卷), NGO HIANG  (五香卷), Dou Gan(M) (豆干 - 中), Gan Er (干鹅), Mala Chicken Patty麻辣鸡扒(胸肉), 大菜果Veg Fish Cake, Chef's Prawn Roll (厨师虾卷), Golden Prawn Pancake黄金虾饼, SOTONG YOU TIAO (苏东油条), (明虾卷), Century Egg  (皮蛋), BEAN SPROUT CAKE (豆芽饼), PRAWN CRACKER (虾饼), Sliced Ginger (姜片)",16
Local leek,LEEK TRIMMED 蒜,"SHREDDRED YUSHENG - WHITE RADDISH 鱼生白萝卜丝, LIQUID EGG WHITE 液蛋清 (2KG/PKT), ROCK MELON 澳洲密瓜, SPRING ONION 青葱, GINGER OLD 老姜, TAU KUA XL 豆干 (2PCS X 200G), BROCCOLI CHINA 中国西兰花, LIME LEAF / KAFFIR LEAVES 柠檬叶 (300G/BUN), EGG SALTED RAW 咸蛋, LEMONGRASS 香茅, RED CABBAGE JULIENNED / SHREDDED 红包菜丝, SDM - BROWN SHIMEJI (150G/PKT), BROCCOLINI 西兰花苗, TOMATO (500G/PKT) 蕃茄, NAI BAI CHYE / BABY BAK CHOY 奶白菜, POTATO LOCAL 土豆 / 马铃薯, EGGS 鸡蛋 (30 PCS/TRAY), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), LEEK TRIMMED 蒜, LEMON YELLOW 黄柠檬 (150G-200G/NOS), SHREDDRED YUSHENG - CARROT 鱼生红萝卜丝, BROCCOLI FLORET CUT 西 蓝花粒, LOTUS ROOT 莲藕, APPLE FUJI RED 富士红萍果 (100G-150G/NOS), SHREDDRED YUSHENG - GREEN RADDISH 鱼生青萝卜丝, WATERMELON 5KG 无子西瓜, BROCCOLI AUST 澳洲西兰花, MANGO HONEY / MANGO THAI 泰国芒果, CUCUMBER JAPANESE 日本黄瓜 (KG), EGGS CENTURY 皮蛋, MUSHROOM SHITAKE 花菇, LIME SEEDLESS 无子青柠檬, CABBAGE LONG WONG BOK 大白菜, LIQUID EGG YOLK 液蛋黄 (2KG/PKT), EGGS QUAIL 鹌鹑蛋 (15 PCS/PKT)",35
mini chicken sausages,JCS01 CHIX SAUSAGE ORIGINAL,"(66) IKEDA CHICKEN CUTLET 1.1KG, BAKED CHICKEN BITES, (33) CRISPY CHICKEN SEAWEED 1KG, KT01 CHICKEN KATSU 70G, YAKITORI WITH SAUCE, A11 POP CORN CHICKEN 1KG, (22) SUPER CRISPY CHICKEN 1KG, ROASTED WINGSTICK 1KG, TEMPURA CHICKEN NUGGET, ROASTED MID JT WING, (99) S/L CHIX BREAST FILLET 1.15KG, FS05 FRIED CRISPY THIGH, FS04 GOLDEN CRISPY WING, GRILLED CHIX STEAK (5PKT), JCS01 CHIX SAUSAGE ORIGINAL, FS01 FRIED 2 JOINT WING, FS03 CRISPY CHICKEN STRIP, FS07 FRIED CRISPY DRUM",18
*Green* coral lettuce,LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜,"CARROTS 红萝卜, THYME 白里香 (50G/PKT), SPRING ONION 青葱, GARLIC SPROUT  蒜苔 (250G/BUN), LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, AUSTRALIA CURLY KALE 羽衣甘兰, ONION PEELED 去皮大洋葱, ROSEMARY 迷迭香 (50G/PKT), BROCCOLI CHINA 中国西兰花, CELERY IMPORTED 西芹菜, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), TOMATO CHERRY RED 小蕃茄, CORIANDER 香菜 / 芫荽 (300G-350G/BUN), POTATO RED SKIN / POTATO DESIREE 红皮土豆 / 红皮马铃薯, BAY LEAF 月桂叶 (50G/PKT), ONION PEELED 去皮大洋葱 (1KG/PKT), CUCUMBER 黄瓜, CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), ITALIAN LETTUCE MIZUNA GREEN 125G 青水菜, LEMON YELLOW 黄柠檬 (150G-200G/NOS), OREGANO 牛至叶 (50G/PKT), PADI CHILLI RED 红小辣椒 / 红潮天椒 (250G/PKT), RADISH RED BABY 小红圆萝卜 (125G/PKT), ITALIAN FLAT PARSLEY 意大利香菜 / 意大利芫荽 (50G/PKT), BROCCOLI AUST 澳洲西兰花, BASIL 罗勒 / 九辰塔 (50G/PKT), SAGE 鼠尾草 (50G/PKT), LETTUCE CORAL RED / LOLLO ROSSA 红珊瑚生菜, MUSHROOM WHITE BUTTON 白蘑菇 (KG), STORY FRESH - ROCKET SALAD 澳洲芝麻叶 (500G/PKT), CUCUMBER JAPANESE 日本黄瓜 (KG), LEMON 黄柠檬盒装 (88-113PCS/CTN), SDM - BROWN SHIMEJI (150G/PKT)",33
Seedless lemon,LEMON YELLOW 黄柠檬 (150G-200G/NOS),"SHREDDRED YUSHENG - WHITE RADDISH 鱼生白萝卜丝, LIQUID EGG WHITE 液蛋清 (2KG/PKT), ROCK MELON 澳洲密瓜, SPRING ONION 青葱, GINGER OLD 老姜, TAU KUA XL 豆干 (2PCS X 200G), BROCCOLI CHINA 中国西兰花, LIME LEAF / KAFFIR LEAVES 柠檬叶 (300G/BUN), EGG SALTED RAW 咸蛋, LEMONGRASS 香茅, RED CABBAGE JULIENNED / SHREDDED 红包菜丝, SDM - BROWN SHIMEJI (150G/PKT), BROCCOLINI 西兰花苗, TOMATO (500G/PKT) 蕃茄, NAI BAI CHYE / BABY BAK CHOY 奶白菜, POTATO LOCAL 土豆 / 马铃薯, EGGS 鸡蛋 (30 PCS/TRAY), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), LEEK TRIMMED 蒜, LEMON YELLOW 黄柠檬 (150G-200G/NOS), SHREDDRED YUSHENG - CARROT 鱼生红萝卜丝, BROCCOLI FLORET CUT 西 蓝花粒, LOTUS ROOT 莲藕, APPLE FUJI RED 富士红萍果 (100G-150G/NOS), SHREDDRED YUSHENG - GREEN RADDISH 鱼生青萝卜丝, WATERMELON 5KG 无子西瓜, BROCCOLI AUST 澳洲西兰花, MANGO HONEY / MANGO THAI 泰国芒果, CUCUMBER JAPANESE 日本黄瓜 (KG), EGGS CENTURY 皮蛋, MUSHROOM SHITAKE 花菇, LIME SEEDLESS 无子青柠檬, CABBAGE LONG WONG BOK 大白菜, LIQUID EGG YOLK 液蛋黄 (2KG/PKT), EGGS QUAIL 鹌鹑蛋 (15 PCS/PKT)",35
Eggs,EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI,"CARROTS 红萝卜, FROZEN EDAMAME PEEL 500G 冷冻毛豆, EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, GRAPE RED SEEDLESS 红葡萄, HONEYDEW 密瓜, FROZEN GREEN PEA 冷冻青豆 (1KG/PKT), TOMATO CHERRY RED 小蕃茄, KOMITSU APPLE, STORY FRESH - BABY SPINACH 澳洲波菜苗 (500G/PKT), EGGS 鸡蛋 (30 PCS/TRAY), SDM - ROYAL CHESTNUT / PENCIL MUSHROOM (130G/PKT), STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT), GARLIC MINCED 蒜末 / 蒜蓉 (1KG/PKT), APPLE GREEN  青萍果盒装 (90-110 PCS/CTN), AVOCADO AUSTRALIA /  澳洲鳄梨 (150G-200G/NOS), ORANGE VALENCIA 水橙子盒装 (80-113PCS/CTN), ASPARAGUS BABY PENCIL / THAI BABY 泰国小芦笋 (100G/BUN), FROZEN MIXED VEGETABLE 1KG 冷冻杂菜, ORANGE VALENCIA 水橙子 (120G-200G/NOS), FROZEN CORN KENNEL 冷冻玉米粒 (1KG), BANANA SEMI RIPE 香蕉, MUSHROOM WHITE BUTTON 白蘑菇 (KG), APPLE GREEN 青萍果, GRAPE GREEN SEEDLESS 青葡萄, ITALIAN MESCLUN SALAD 杂菜 (125G/PKT)",25
Green Coral,LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜,"DILL 茴香 / 莳萝 (50G/PKT), CABBAGE RED / CABBAGE PURPLE 紫包菜 / 红包菜, GINGER OLD 老姜, LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), TOMATO (500G/PKT) 蕃茄, POTATO LOCAL 土豆 / 马铃薯, EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), STRAWBERRY 草莓 (250G/PUN), LEMON YELLOW 黄柠檬 (150G-200G/NOS), ONION LARGE BROWN 大洋葱, SPEARMINT 薄荷叶 (50G/PKT), CABBAGE BEIJING 北京包菜, CUCUMBER JAPANESE 日本黄瓜 (KG), ONION WHITE HOLLAND 荷兰白皮洋葱, CAPSICUM PEPPER GREEN 青灯笼椒 / 青大辣椒, MUSHROOM PORTOBELLO 波多贝罗蘑菇, MUSHROOM SHITAKE 花菇, CABBAGE ROUND 包菜, BLUEBERRY 兰莓 (100G-125G/PKT)",20
Purple alyssum,EDIBLE FLOWER - PURPLE SWEET ALYSSUM (10G/PUN),"THYME 白里香 (50G/PKT), EDIBLE FLOWER - MARIGOLD 万寿菊花 (10G/PUN), LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, EDIBLE FLOWER - WHITE SWEET ALYSSUM 香雪球花 (10G/PUN), ROSEMARY 迷迭香 (50G/PKT), FROZEN GREEN PEA 冷冻青豆 (1KG/PKT), (ES.M) EGYPTIAN STAR MIXED (10G/PUN), ITALIAN BABY SPINACH 波菜苗 (125G/PKT), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), TOMATO CHERRY VINE RED 枝上红樱桃蕃茄, ITALIAN LETTUCE MIZUNA GREEN 125G 青水菜, STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT), LETTUCE ROMAINE / COS LETTUCE 罗曼生菜, (RVS) RED VEIN SORREL CRESS MG, (TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, EDIBLE FLOWER - PURPLE SWEET ALYSSUM (10G/PUN), ITALIAN FLAT PARSLEY 意大利香菜 / 意大利芫荽 (50G/PKT), BASIL 罗勒 / 九辰塔 (50G/PKT), ITALIAN LETTUCE MACHE / CORN SALAD / LAMB SALAD 125G 荷兰生菜, ITALIAN ROCKET ARUGULA SALAD 火箭生菜 (125G/PKT), EDIBLE FLOWERS - OXALIS FLOWERS 40PCS FL_OXF, EDIBLE FLOWER - VIOLA (10G/PUN), POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, ITALIAN MESCLUN SALAD 杂菜 (125G/PKT)",24
饺卷,FUCHOU FISH FINGER,"SEAFOOD RING ROLL, CUTTLEFISH TOFU, CUTTLEFISH BALL (500GM X 2PACK), PRAWN BALL (500GM X 2PACK), TAU KEE PUFF, CUTTLEFISH NUGGET, CUTTLEFISH WANTON, FISH FINGER, FUCHOU FISH FINGER, CUTTLEFISH BALL 苏东丸 (500GM X 12PACK), TEOCHEW FISH CAKE (20PCS), SEAFOOD BEANCURD, FUCHOU FISH FINGER 鲛卷(大箱), CRAB BALL (250GM X 12PACK), CUTTLEFISH BALL (250GM X 12PACK), PRAWN BALL (500GM X 12PACK)",16
Mango,HONEY MANGO 蜂蜜芒果,"MANGO 芒果, BANANA LEAF 香蕉叶, SWEET POTATO RED MEAT 番薯红肉, CURRY LEAF 咖喱叶, SMALL PANDAN LEAF 小香兰叶, BERANGAN BANANA 香蕉, BIG PANDAN LEAF 大香兰叶, HONEY MANGO 蜂蜜芒果, HERB THYME 百里香, TAPIOCA 木薯, RASPBERRY 树莓, PEELED TAPIOCA 去皮木薯, RED CARROT 红萝卜",13
Mesclun salad 500,STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT),"THYME 白里香 (50G/PKT), EDIBLE FLOWER - MARIGOLD 万寿菊花 (10G/PUN), LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, EDIBLE FLOWER - WHITE SWEET ALYSSUM 香雪球花 (10G/PUN), ROSEMARY 迷迭香 (50G/PKT), FROZEN GREEN PEA 冷冻青豆 (1KG/PKT), (ES.M) EGYPTIAN STAR MIXED (10G/PUN), ITALIAN BABY SPINACH 波菜苗 (125G/PKT), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), TOMATO CHERRY VINE RED 枝上红樱桃蕃茄, ITALIAN LETTUCE MIZUNA GREEN 125G 青水菜, STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT), LETTUCE ROMAINE / COS LETTUCE 罗曼生菜, (RVS) RED VEIN SORREL CRESS MG, (TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, EDIBLE FLOWER - PURPLE SWEET ALYSSUM (10G/PUN), ITALIAN FLAT PARSLEY 意大利香菜 / 意大利芫荽 (50G/PKT), BASIL 罗勒 / 九辰塔 (50G/PKT), ITALIAN LETTUCE MACHE / CORN SALAD / LAMB SALAD 125G 荷兰生菜, ITALIAN ROCKET ARUGULA SALAD 火箭生菜 (125G/PKT), EDIBLE FLOWERS - OXALIS FLOWERS 40PCS FL_OXF, EDIBLE FLOWER - VIOLA (10G/PUN), POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, ITALIAN MESCLUN SALAD 杂菜 (125G/PKT)",24
